country,iso3,2005,2014
Belgium,BEL,11.51109251,3.298900367
Hungary,HUN,4.021526574,3.772605527
Luxembourg,LUX,8.198451795,4.137931035
Slovenia,SVN,7.128712871,4.996271439
Italy,ITA,7.692307695,5.555555553
New Zealand,NZL,9.611111111,6.083333333
Norway,NOR,9.388516033,6.282722513
Denmark,DNK,10.18354903,6.323865702
Turkey,TUR,3.206997085,6.882591093
Spain,ESP,12.50000017,8.647626418
Greece,GRC,16.66666569,9.090908085
Poland,POL,11.44042048,11.07286288
Sweden,SWE,14.44411148,13.42049093
Iceland,ISL,13.19922882,13.59348986
France,FRA,14.38941076,13.67282395
Netherlands,NLD,16.00806452,14.11468179
Slovak Republic,SVK,20.09925558,14.35004753
OECD ,OECD,15.68990745,14.55933542
Ireland,IRL,13.79310345,15.17342812
Australia,AUS,15.77777778,15.38461539
Czech Republic,CZE,15.93892946,16.2545602
Switzerland,CHE,21.31813213,16.94074284
Germany,DEU,17.30205279,17.07953064
United Kingdom,GBR,22.06395819,17.38274257
United States,USA,18.97506925,17.45120551
Austria,AUT,22.03208575,17.72888425
Mexico,MEX,16.66666667,18.3
Portugal,PRT,15.9663881,18.879689
Canada,CAN,21.25,19.229
Finland,FIN,18.94169403,19.60907945
Chile,CHL,3.958415842,21.05263158
Latvia,LVA,10.99195711,21.12299465
Israel,ISR,22.35153686,21.82741117
Japan,JPN,32.82543889,25.87099
Estonia,EST,29.6875,28.33935018
Korea,KOR,39.61663236,36.65317614
Costa Rica,CRI,,5.149700599
Colombia,COL,1.339317018,9.6
Lithuania,LTU,14.23410405,12.4354763
